1601402;Алтайский край, Алейский сельсовет;Алтайский край;Алейский сельсовет
1601404;Алтайский край, Александровский сельсовет;Алтайский край;Александровский сельсовет
1601408;Алтайский край, Безголосовский сельсовет;Алтайский край;Безголосовский сельсовет
1601413;Алтайский край, Большепанюшевский сельсовет;Алтайский край;Большепанюшевский сельсовет
1601417;Алтайский край, Боровской сельсовет;Алтайский край;Боровской сельсовет
1601419;Алтайский край, Ветёльский сельсовет;Алтайский край;Ветёльский сельсовет
1601420;Алтайский край, Дружбинский сельсовет;Алтайский край;Дружбинский сельсовет
1601423;Алтайский край, Дубровский сельсовет;Алтайский край;Дубровский сельсовет
1601426;Алтайский край, Заветильичёвский сельсовет;Алтайский край;Заветильичёвский сельсовет
1601430;Алтайский край, Кабаковский сельсовет;Алтайский край;Кабаковский сельсовет
1601432;Алтайский край, Кашинский сельсовет;Алтайский край;Кашинский сельсовет
1601438;Алтайский край, Кировский сельсовет;Алтайский край;Кировский сельсовет
1601440;Алтайский край, Краснопартизанский сельсовет;Алтайский край;Краснопартизанский сельсовет
1601460;Алтайский край, Малиновский сельсовет;Алтайский край;Малиновский сельсовет
1601464;Алтайский край, Моховской сельсовет;Алтайский край;Моховской сельсовет
1601468;Алтайский край, Осколковский сельсовет;Алтайский край;Осколковский сельсовет
1601473;Алтайский край, Плотавский сельсовет;Алтайский край;Плотавский сельсовет
1601475;Алтайский край, Савинский сельсовет;Алтайский край;Савинский сельсовет
1601477;Алтайский край, Совхозный сельсовет;Алтайский край;Совхозный сельсовет
1601485;Алтайский край, Урюпинский сельсовет;Алтайский край;Урюпинский сельсовет
1601496;Алтайский край, Фрунзенский сельсовет;Алтайский край;Фрунзенский сельсовет
1601498;Алтайский край, Чапаевский сельсовет;Алтайский край;Чапаевский сельсовет
1602405;Алтайский край, Айский сельсовет;Алтайский край;Айский сельсовет
1602407;Алтайский край, Алтайский сельсовет;Алтайский край;Алтайский сельсовет
1602412;Алтайский край, Беловский сельсовет;Алтайский край;Беловский сельсовет
1602423;Алтайский край, Куяганский сельсовет;Алтайский край;Куяганский сельсовет
1602427;Алтайский край, Куячинский сельсовет;Алтайский край;Куячинский сельсовет
1602435;Алтайский край, Макарьевский сельсовет;Алтайский край;Макарьевский сельсовет
1602446;Алтайский край, Нижнекаменский сельсовет;Алтайский край;Нижнекаменский сельсовет
1602457;Алтайский край, Пролетарский сельсовет;Алтайский край;Пролетарский сельсовет
1602468;Алтайский край, Россошинский сельсовет;Алтайский край;Россошинский сельсовет
1602479;Алтайский край, Старобелокурихинский сельсовет;Алтайский край;Старобелокурихинский сельсовет
1603407;Алтайский край, Баевский сельсовет;Алтайский край;Баевский сельсовет
1603416;Алтайский край, Верх-Пайвинский сельсовет;Алтайский край;Верх-Пайвинский сельсовет
1603419;Алтайский край, Верх-Чуманский сельсовет;Алтайский край;Верх-Чуманский сельсовет
1603434;Алтайский край, Нижнепайвинский сельсовет;Алтайский край;Нижнепайвинский сельсовет
1603437;Алтайский край, Нижнечуманский сельсовет;Алтайский край;Нижнечуманский сельсовет
1603455;Алтайский край, Паклинский сельсовет;Алтайский край;Паклинский сельсовет
1603458;Алтайский край, Плотавский сельсовет;Алтайский край;Плотавский сельсовет
1603469;Алтайский край, Прослаухинский сельсовет;Алтайский край;Прослаухинский сельсовет
1603480;Алтайский край, Ситниковский сельсовет;Алтайский край;Ситниковский сельсовет
1604410;Алтайский край, Большеугреневский сельсовет;Алтайский край;Большеугреневский сельсовет
1604415;Алтайский край, Верх-Бехтемирский сельсовет;Алтайский край;Верх-Бехтемирский сельсовет
1604417;Алтайский край, Верх-Катунский сельсовет;Алтайский край;Верх-Катунский сельсовет
